question,answer,type,entities,timestamp,error
How to manage black soil?,"🌍 Black SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: clayey
• Drainage: poor when wet
• Nutrient content: high in calcium/magnesium
• Water holding capacity: good
• pH range: 7.0-8.5

🌱 SUITABLE CROPS:
• cotton, sugarcane, wheat, sorghum, citrus

⚠️ COMMON PROBLEMS:
• cracks when dry, hard to work when wet, alkaline nature

🔧 IMPROVEMENT METHODS:
1. add organic matter
2. contour bunding
3. subsoiling
4. gypsum

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['black'],2026-02-11T09:30:11.078762,
How to increase wheat yield?,"🌱 Wheat COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: rabi
• Duration: 110-120 days

🌱 SOIL REQUIREMENTS:
• Best soil: loamy, clay loam, well-drained
• Ideal pH: 6.0-7.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 10-25°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Punjab, Haryana, Uttar Pradesh

🎯 RECOMMENDED VARIETIES:
• HD-2967, PBW-550, WH-1105

💊 FERTILIZER RECOMMENDATION:
• NPK 120:60:40
• Additional: urea, DAP

🐛 PEST MANAGEMENT:
• Common pests: aphids, armyworm, termites
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: rust, smut, powdery mildew
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['wheat'],2026-02-11T09:30:11.060006,
What are the requirements for maize cultivation?,"🌱 Maize COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 80-110 days

🌱 SOIL REQUIREMENTS:
• Best soil: well-drained loamy, sandy loam
• Ideal pH: 5.8-7.0

🌡️ CLIMATIC CONDITIONS:
• Temperature: 18-27°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Karnataka, Madhya Pradesh, Rajasthan

🎯 RECOMMENDED VARIETIES:
• HQPM-1, Pioneer, NK-6240

💊 FERTILIZER RECOMMENDATION:
• NPK 150:75:75
• Additional: urea, SSP

🐛 PEST MANAGEMENT:
• Common pests: stem borer, armyworm, shoot fly
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: leaf blight, stalk rot, rust
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_general,['maize'],2026-02-11T09:30:11.083282,
How to improve loamy soil?,"🌍 Loamy SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: medium
• Drainage: good
• Nutrient content: moderate
• Water holding capacity: good
• pH range: 6.0-7.5

🌱 SUITABLE CROPS:
• most crops, vegetables, fruits, cereals, pulses

⚠️ COMMON PROBLEMS:
• erosion if not managed, requires regular organic addition

🔧 IMPROVEMENT METHODS:
1. maintain organic content
2. crop rotation
3. balanced fertilization


💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['loamy'],2026-02-11T09:30:11.067006,
Should I grow cotton or sugarcane?,"🌾 COMPARISON: Cotton vs Sugarcane

Cotton:
• Season: kharif
• Soil: black cotton soil
• Water: moderate
• Duration: 150-180 days
• Main regions: Gujarat, Maharashtra

Sugarcane:
• Season: throughout year
• Soil: deep fertile loamy
• Water: high
• Duration: 12-18 months
• Main regions: Maharashtra, Uttar Pradesh

📈 KEY DIFFERENCES:
• Water requirement: Similar
• Season: Different
• Duration: Longer

💡 CHOICE DEPENDS ON:
• Your soil type
• Water availability
• Market demand
• Season in your region",comparison_crop,"['cotton', 'sugarcane']",2026-02-11T09:30:11.085282,
How to test soil quality?,"How to test soil quality:
1. Collect samples from 10-15 spots in field
2. Take from 0-6 inch depth
3. Mix samples thoroughly
4. Send to soil testing lab
5. Test for: pH, NPK, organic carbon, micronutrients
6. Frequency: Before each cropping season
7. Home kits available for basic pH testing",practical,[],2026-02-11T09:30:11.069752,
Difference between sandy and black soil,"📊 COMPARISON: Sandy vs Black Soil

Sandy Soil:
• Texture: coarse
• Drainage: excellent
• Water holding: poor
• Nutrients: low
• Suitable crops: groundnut, watermelon, carrot

Black Soil:
• Texture: clayey
• Drainage: poor when wet
• Water holding: good
• Nutrients: high in calcium/magnesium
• Suitable crops: cotton, sugarcane, wheat

🎯 RECOMMENDATION:
• Choose sandy for: better drainage
• Choose black for: different needs
• Most versatile: Depends on crop requirements",comparison_soil,"['black', 'sandy']",2026-02-11T09:30:11.081271,
Popular varieties of maize?,"🌱 Maize COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 80-110 days

🌱 SOIL REQUIREMENTS:
• Best soil: well-drained loamy, sandy loam
• Ideal pH: 5.8-7.0

🌡️ CLIMATIC CONDITIONS:
• Temperature: 18-27°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Karnataka, Madhya Pradesh, Rajasthan

🎯 RECOMMENDED VARIETIES:
• HQPM-1, Pioneer, NK-6240

💊 FERTILIZER RECOMMENDATION:
• NPK 150:75:75
• Additional: urea, SSP

🐛 PEST MANAGEMENT:
• Common pests: stem borer, armyworm, shoot fly
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: leaf blight, stalk rot, rust
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['maize'],2026-02-11T09:30:11.082282,
Tell me about sandy soil,"🌍 Sandy SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: coarse
• Drainage: excellent
• Nutrient content: low
• Water holding capacity: poor
• pH range: 6.0-8.0

🌱 SUITABLE CROPS:
• groundnut, watermelon, carrot, potato, sunflower

⚠️ COMMON PROBLEMS:
• nutrient leaching, dries quickly, low fertility

🔧 IMPROVEMENT METHODS:
1. add organic matter
2. use mulch
3. frequent irrigation
4. green manure

💧 WATER MANAGEMENT:
• Irrigation frequency: High (dries quickly)
• Best irrigation: Drip/sprinkler

🌾 FERTILIZER STRATEGY:
• Frequent light applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['sandy'],2026-02-11T09:30:11.062012,
Water requirements for maize?,"🌱 Maize COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 80-110 days

🌱 SOIL REQUIREMENTS:
• Best soil: well-drained loamy, sandy loam
• Ideal pH: 5.8-7.0

🌡️ CLIMATIC CONDITIONS:
• Temperature: 18-27°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Karnataka, Madhya Pradesh, Rajasthan

🎯 RECOMMENDED VARIETIES:
• HQPM-1, Pioneer, NK-6240

💊 FERTILIZER RECOMMENDATION:
• NPK 150:75:75
• Additional: urea, SSP

🐛 PEST MANAGEMENT:
• Common pests: stem borer, armyworm, shoot fly
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: leaf blight, stalk rot, rust
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['maize'],2026-02-11T09:30:11.059007,
Difference between sandy and loamy soil,"📊 COMPARISON: Sandy vs Loamy Soil

Sandy Soil:
• Texture: coarse
• Drainage: excellent
• Water holding: poor
• Nutrients: low
• Suitable crops: groundnut, watermelon, carrot

Loamy Soil:
• Texture: medium
• Drainage: good
• Water holding: good
• Nutrients: moderate
• Suitable crops: most crops, vegetables, fruits

🎯 RECOMMENDATION:
• Choose sandy for: better drainage
• Choose loamy for: different needs
• Most versatile: Loamy soil is generally best for most crops",comparison_soil,"['loamy', 'sandy']",2026-02-11T09:30:11.061011,
Common diseases of wheat?,"🌱 Wheat COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: rabi
• Duration: 110-120 days

🌱 SOIL REQUIREMENTS:
• Best soil: loamy, clay loam, well-drained
• Ideal pH: 6.0-7.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 10-25°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Punjab, Haryana, Uttar Pradesh

🎯 RECOMMENDED VARIETIES:
• HD-2967, PBW-550, WH-1105

💊 FERTILIZER RECOMMENDATION:
• NPK 120:60:40
• Additional: urea, DAP

🐛 PEST MANAGEMENT:
• Common pests: aphids, armyworm, termites
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: rust, smut, powdery mildew
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['wheat'],2026-02-11T09:30:11.065006,
How to manage sandy soil?,"🌍 Sandy SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: coarse
• Drainage: excellent
• Nutrient content: low
• Water holding capacity: poor
• pH range: 6.0-8.0

🌱 SUITABLE CROPS:
• groundnut, watermelon, carrot, potato, sunflower

⚠️ COMMON PROBLEMS:
• nutrient leaching, dries quickly, low fertility

🔧 IMPROVEMENT METHODS:
1. add organic matter
2. use mulch
3. frequent irrigation
4. green manure

💧 WATER MANAGEMENT:
• Irrigation frequency: High (dries quickly)
• Best irrigation: Drip/sprinkler

🌾 FERTILIZER STRATEGY:
• Frequent light applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['sandy'],2026-02-11T09:30:11.074752,
Popular varieties of cotton?,"🌱 Cotton COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 150-180 days

🌱 SOIL REQUIREMENTS:
• Best soil: black cotton soil, well-drained
• Ideal pH: 6.0-8.0

🌡️ CLIMATIC CONDITIONS:
• Temperature: 21-30°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Gujarat, Maharashtra, Telangana

🎯 RECOMMENDED VARIETIES:
• Bt cotton, MCU-5, Suvin

💊 FERTILIZER RECOMMENDATION:
• NPK 80:40:40
• Additional: urea, zinc sulphate

🐛 PEST MANAGEMENT:
• Common pests: bollworm, whitefly, aphids
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: leaf curl, bacterial blight, verticillium wilt
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['cotton'],2026-02-11T09:30:11.071751,
Problems with black soil,"🌍 Black SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: clayey
• Drainage: poor when wet
• Nutrient content: high in calcium/magnesium
• Water holding capacity: good
• pH range: 7.0-8.5

🌱 SUITABLE CROPS:
• cotton, sugarcane, wheat, sorghum, citrus

⚠️ COMMON PROBLEMS:
• cracks when dry, hard to work when wet, alkaline nature

🔧 IMPROVEMENT METHODS:
1. add organic matter
2. contour bunding
3. subsoiling
4. gypsum

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['black'],2026-02-11T09:30:11.085282,
How to prepare land for sugarcane?,"Land preparation for sugarcane:
1. Clear previous crop residues
2. Plough 2-3 times for fine tilth
3. Level the field properly
4. Add basal fertilizer: NPK 250 if available
5. Make irrigation channels
6. Pre-sowing irrigation if needed
Time required: 10-15 days before sowing",practical,['sugarcane'],2026-02-11T09:30:11.069752,
What are the requirements for sugarcane cultivation?,"🌱 Sugarcane COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: throughout year
• Duration: 12-18 months

🌱 SOIL REQUIREMENTS:
• Best soil: deep fertile loamy, well-drained
• Ideal pH: 6.5-7.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 20-30°C
• Water: high

📍 MAJOR GROWING REGIONS:
• Maharashtra, Uttar Pradesh, Karnataka

🎯 RECOMMENDED VARIETIES:
• Co-86032, Co-419, CoC-671

💊 FERTILIZER RECOMMENDATION:
• NPK 250:115:115
• Additional: urea, organic manure

🐛 PEST MANAGEMENT:
• Common pests: top borer, root borer, scale insect
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: red rot, smut, rust
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_general,['sugarcane'],2026-02-11T09:30:11.076753,
pH range of clay soil,"🌍 Clay SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: fine
• Drainage: poor
• Nutrient content: high
• Water holding capacity: excellent
• pH range: 5.5-7.5

🌱 SUITABLE CROPS:
• rice, wheat, soybean, cabbage, spinach

⚠️ COMMON PROBLEMS:
• compaction, poor aeration, slow drainage

🔧 IMPROVEMENT METHODS:
1. add sand
2. gypsum application
3. deep ploughing
4. add lime

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['clay'],2026-02-11T09:30:11.081271,
How to grow wheat?,"🌱 Wheat COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: rabi
• Duration: 110-120 days

🌱 SOIL REQUIREMENTS:
• Best soil: loamy, clay loam, well-drained
• Ideal pH: 6.0-7.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 10-25°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Punjab, Haryana, Uttar Pradesh

🎯 RECOMMENDED VARIETIES:
• HD-2967, PBW-550, WH-1105

💊 FERTILIZER RECOMMENDATION:
• NPK 120:60:40
• Additional: urea, DAP

🐛 PEST MANAGEMENT:
• Common pests: aphids, armyworm, termites
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: rust, smut, powdery mildew
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_general,['wheat'],2026-02-11T09:30:11.087281,'soil'
How to improve clay soil?,"🌍 Clay SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: fine
• Drainage: poor
• Nutrient content: high
• Water holding capacity: excellent
• pH range: 5.5-7.5

🌱 SUITABLE CROPS:
• rice, wheat, soybean, cabbage, spinach

⚠️ COMMON PROBLEMS:
• compaction, poor aeration, slow drainage

🔧 IMPROVEMENT METHODS:
1. add sand
2. gypsum application
3. deep ploughing
4. add lime

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['clay'],2026-02-11T09:30:11.067006,
How to test soil quality?,"How to test soil quality:
1. Collect samples from 10-15 spots in field
2. Take from 0-6 inch depth
3. Mix samples thoroughly
4. Send to soil testing lab
5. Test for: pH, NPK, organic carbon, micronutrients
6. Frequency: Before each cropping season
7. Home kits available for basic pH testing",practical,[],2026-02-11T09:30:11.056595,
Best practices for maize?,"🌱 Maize COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 80-110 days

🌱 SOIL REQUIREMENTS:
• Best soil: well-drained loamy, sandy loam
• Ideal pH: 5.8-7.0

🌡️ CLIMATIC CONDITIONS:
• Temperature: 18-27°C
• Water: moderate

📍 MAJOR GROWING REGIONS:
• Karnataka, Madhya Pradesh, Rajasthan

🎯 RECOMMENDED VARIETIES:
• HQPM-1, Pioneer, NK-6240

💊 FERTILIZER RECOMMENDATION:
• NPK 150:75:75
• Additional: urea, SSP

🐛 PEST MANAGEMENT:
• Common pests: stem borer, armyworm, shoot fly
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: leaf blight, stalk rot, rust
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_general,['maize'],2026-02-11T09:30:11.064006,
How to store maize after harvest?,"Harvesting maize:
• Timing: When grains are hard and moisture is 20-25%
• Signs: Yellowing of leaves, hard grains
• Method: Manual or combine harvester
• Post-harvest: Dry to 12-14% moisture before storage
• Storage: Clean, dry, rodent-proof containers",practical,['maize'],2026-02-11T09:30:11.063006,
Compare sugarcane and maize cultivation,"🌾 COMPARISON: Sugarcane vs Maize

Sugarcane:
• Season: throughout year
• Soil: deep fertile loamy
• Water: high
• Duration: 12-18 months
• Main regions: Maharashtra, Uttar Pradesh

Maize:
• Season: kharif
• Soil: well-drained loamy
• Water: moderate
• Duration: 80-110 days
• Main regions: Karnataka, Madhya Pradesh

📈 KEY DIFFERENCES:
• Water requirement: Higher
• Season: Different
• Duration: Shorter

💡 CHOICE DEPENDS ON:
• Your soil type
• Water availability
• Market demand
• Season in your region",comparison_crop,"['sugarcane', 'maize']",2026-02-11T09:30:11.082282,
Crops suitable for clay soil,"🌍 Clay SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: fine
• Drainage: poor
• Nutrient content: high
• Water holding capacity: excellent
• pH range: 5.5-7.5

🌱 SUITABLE CROPS:
• rice, wheat, soybean, cabbage, spinach

⚠️ COMMON PROBLEMS:
• compaction, poor aeration, slow drainage

🔧 IMPROVEMENT METHODS:
1. add sand
2. gypsum application
3. deep ploughing
4. add lime

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['clay'],2026-02-11T09:30:11.082282,
pH range of clay soil,"🌍 Clay SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: fine
• Drainage: poor
• Nutrient content: high
• Water holding capacity: excellent
• pH range: 5.5-7.5

🌱 SUITABLE CROPS:
• rice, wheat, soybean, cabbage, spinach

⚠️ COMMON PROBLEMS:
• compaction, poor aeration, slow drainage

🔧 IMPROVEMENT METHODS:
1. add sand
2. gypsum application
3. deep ploughing
4. add lime

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['clay'],2026-02-11T09:30:11.074752,
Which season is good for rice?,"🌱 Rice COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 90-150 days

🌱 SOIL REQUIREMENTS:
• Best soil: clay, clay loam, waterlogged
• Ideal pH: 5.5-6.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 20-35°C
• Water: high

📍 MAJOR GROWING REGIONS:
• West Bengal, Andhra Pradesh, Punjab

🎯 RECOMMENDED VARIETIES:
• Pusa Basmati, Swarna, IR-64

💊 FERTILIZER RECOMMENDATION:
• NPK 100:50:50
• Additional: urea, MOP

🐛 PEST MANAGEMENT:
• Common pests: stem borer, brown plant hopper, leaf folder
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: blast, bacterial blight, sheath blight
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['rice'],2026-02-11T09:30:11.076753,
Characteristics of clay soil,"🌍 Clay SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: fine
• Drainage: poor
• Nutrient content: high
• Water holding capacity: excellent
• pH range: 5.5-7.5

🌱 SUITABLE CROPS:
• rice, wheat, soybean, cabbage, spinach

⚠️ COMMON PROBLEMS:
• compaction, poor aeration, slow drainage

🔧 IMPROVEMENT METHODS:
1. add sand
2. gypsum application
3. deep ploughing
4. add lime

💧 WATER MANAGEMENT:
• Irrigation frequency: Moderate
• Best irrigation: Any efficient method

🌾 FERTILIZER STRATEGY:
• Balanced applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['clay'],2026-02-11T09:30:11.054088,
Tell me about rice farming.,"🌱 Rice COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 90-150 days

🌱 SOIL REQUIREMENTS:
• Best soil: clay, clay loam, waterlogged
• Ideal pH: 5.5-6.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 20-35°C
• Water: high

📍 MAJOR GROWING REGIONS:
• West Bengal, Andhra Pradesh, Punjab

🎯 RECOMMENDED VARIETIES:
• Pusa Basmati, Swarna, IR-64

💊 FERTILIZER RECOMMENDATION:
• NPK 100:50:50
• Additional: urea, MOP

🐛 PEST MANAGEMENT:
• Common pests: stem borer, brown plant hopper, leaf folder
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: blast, bacterial blight, sheath blight
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_general,['rice'],2026-02-11T09:30:11.055085,
Which is better: clay or black soil?,"📊 COMPARISON: Clay vs Black Soil

Clay Soil:
• Texture: fine
• Drainage: poor
• Water holding: excellent
• Nutrients: high
• Suitable crops: rice, wheat, soybean

Black Soil:
• Texture: clayey
• Drainage: poor when wet
• Water holding: good
• Nutrients: high in calcium/magnesium
• Suitable crops: cotton, sugarcane, wheat

🎯 RECOMMENDATION:
• Choose clay for: specific crops
• Choose black for: different needs
• Most versatile: Depends on crop requirements",comparison_soil,"['black', 'clay']",2026-02-11T09:30:11.077763,
Which is better: sandy or black soil?,"📊 COMPARISON: Sandy vs Black Soil

Sandy Soil:
• Texture: coarse
• Drainage: excellent
• Water holding: poor
• Nutrients: low
• Suitable crops: groundnut, watermelon, carrot

Black Soil:
• Texture: clayey
• Drainage: poor when wet
• Water holding: good
• Nutrients: high in calcium/magnesium
• Suitable crops: cotton, sugarcane, wheat

🎯 RECOMMENDATION:
• Choose sandy for: better drainage
• Choose black for: different needs
• Most versatile: Depends on crop requirements",comparison_soil,"['black', 'sandy']",2026-02-11T09:30:11.057992,
How to improve sandy soil?,"🌍 Sandy SOIL COMPLETE PROFILE 🌍

📊 BASIC PROPERTIES:
• Texture: coarse
• Drainage: excellent
• Nutrient content: low
• Water holding capacity: poor
• pH range: 6.0-8.0

🌱 SUITABLE CROPS:
• groundnut, watermelon, carrot, potato, sunflower

⚠️ COMMON PROBLEMS:
• nutrient leaching, dries quickly, low fertility

🔧 IMPROVEMENT METHODS:
1. add organic matter
2. use mulch
3. frequent irrigation
4. green manure

💧 WATER MANAGEMENT:
• Irrigation frequency: High (dries quickly)
• Best irrigation: Drip/sprinkler

🌾 FERTILIZER STRATEGY:
• Frequent light applications
• Organic matter: Essential for improvement
• Soil testing: Recommended annually",soil_general,['sandy'],2026-02-11T09:30:11.065006,
How to increase rice yield?,"🌱 Rice COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 90-150 days

🌱 SOIL REQUIREMENTS:
• Best soil: clay, clay loam, waterlogged
• Ideal pH: 5.5-6.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 20-35°C
• Water: high

📍 MAJOR GROWING REGIONS:
• West Bengal, Andhra Pradesh, Punjab

🎯 RECOMMENDED VARIETIES:
• Pusa Basmati, Swarna, IR-64

💊 FERTILIZER RECOMMENDATION:
• NPK 100:50:50
• Additional: urea, MOP

🐛 PEST MANAGEMENT:
• Common pests: stem borer, brown plant hopper, leaf folder
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: blast, bacterial blight, sheath blight
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['rice'],2026-02-11T09:30:11.055085,
What is the ideal pH for rice?,"🌱 Rice COMPLETE CULTIVATION GUIDE 🌱

📅 SEASON & DURATION:
• Growing season: kharif
• Duration: 90-150 days

🌱 SOIL REQUIREMENTS:
• Best soil: clay, clay loam, waterlogged
• Ideal pH: 5.5-6.5

🌡️ CLIMATIC CONDITIONS:
• Temperature: 20-35°C
• Water: high

📍 MAJOR GROWING REGIONS:
• West Bengal, Andhra Pradesh, Punjab

🎯 RECOMMENDED VARIETIES:
• Pusa Basmati, Swarna, IR-64

💊 FERTILIZER RECOMMENDATION:
• NPK 100:50:50
• Additional: urea, MOP

🐛 PEST MANAGEMENT:
• Common pests: stem borer, brown plant hopper, leaf folder
• Control: Use IPM, biological controls

🦠 DISEASE CONTROL:
• Common diseases: blast, bacterial blight, sheath blight
• Prevention: Resistant varieties, crop rotation

💧 WATER MANAGEMENT:
• Critical stages: Flowering, grain filling
• Avoid waterlogging

📈 YIELD IMPROVEMENT:
• Timely operations
• Balanced fertilization
• Proper pest control
• Optimal planting density",crop_specific,['rice'],2026-02-11T09:30:11.087281,
Which is better: sandy or loamy soil?,"📊 COMPARISON: Sandy vs Loamy Soil

Sandy Soil:
• Texture: coarse
• Drainage: excellent
• Water holding: poor
• Nutrients: low
• Suitable crops: groundnut, watermelon, carrot

Loamy Soil:
• Texture: medium
• Drainage: good
• Water holding: good
• Nutrients: moderate
• Suitable crops: most crops, vegetables, fruits

🎯 RECOMMENDATION:
• Choose sandy for: better drainage
• Choose loamy for: different needs
• Most versatile: Loamy soil is generally best for most crops",comparison_soil,"['loamy', 'sandy']",2026-02-11T09:30:11.062012,
Which is better: clay or black soil?,"📊 COMPARISON: Clay vs Black Soil

Clay Soil:
• Texture: fine
• Drainage: poor
• Water holding: excellent
• Nutrients: high
• Suitable crops: rice, wheat, soybean

Black Soil:
• Texture: clayey
• Drainage: poor when wet
• Water holding: good
• Nutrients: high in calcium/magnesium
• Suitable crops: cotton, sugarcane, wheat

🎯 RECOMMENDATION:
• Choose clay for: specific crops
• Choose black for: different needs
• Most versatile: Depends on crop requirements",comparison_soil,"['black', 'clay']",2026-02-11T09:30:11.055085,
