question,answer,type,entities,timestamp
How much fertilizer for wheat per acre?,"💊 FERTILIZER FOR WHEAT

Basal: NPK 120:60:40
Additional: urea, DAP, SSP, zinc sulphate

Tips:
• Soil test first
• Split nitrogen applications
• Apply when soil moist
• Include micronutrients",practical,['wheat'],2026-02-12T17:23:09.525358
What is the ideal pH for banana soil?,"🌾 COMPLETE GUIDE: BANANA IN PAKISTAN

📅 Season: year-round
🌱 Soil: deep loamy, alluvial
🌡️ Temperature: 25-30°C
💧 Water: high, 1200-2200mm annually
📍 Regions: Sindh (lower), Punjab (Multan)

🎯 Varieties: Cavendish (Dwarf, Giant), Basrai, Monte Carlo, Williams
💊 Fertilizer: NPK 200:100:200, urea
🐛 Pests: banana weevil, aphids
🦠 Diseases: banana bunchy top virus (BBTV), panama disease
📈 Yield: 150-250 dozens, 18000-30000 kg

⏱️ Duration: 10-15 months
🌾 Harvest: year-round

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['banana'],2026-02-12T17:23:09.542876
How to improve sandy soil?,"🌍 SANDY SOIL PROFILE

📊 Properties:
• Texture: coarse
• Drainage: excellent
• Nutrients: low to medium
• Water Holding: poor
• pH: 6.0-8.0

🌱 Suitable Crops:
• groundnut, watermelon, carrot, potato

⚠️ Challenges:
• nutrient leaching, dries quickly

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['sandy'],2026-02-12T17:23:09.529870
citrus vs cauliflower: which is more profitable?,"🌾 COMPARISON: CITRUS vs CAULIFLOWER

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Citrus             │ Cauliflower        │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ winter             │ rabi               │
│ Duration     │ perennial          │ 90-120 days        │
│ Soil         │ well-drained loamy │ loamy              │
│ Water        │ moderate           │ moderate           │
│ Yield/Acre   │ 80-150 maunds      │ 120-200 maunds     │
└──────────────┴────────────────────┴────────────────────┘

Citrus: Punjab (Sahiwal, Sargodha), Sindh
Cauliflower: Punjab, KPK",comparison_crop,"['citrus', 'cauliflower']",2026-02-12T17:23:09.529870
What is alluvial soil good for?,"🌍 ALLUVIAL SOIL PROFILE

📊 Properties:
• Texture: variable
• Drainage: good
• Nutrients: high
• Water Holding: variable
• pH: 6.0-8.0

🌱 Suitable Crops:
• rice, wheat, sugarcane, cotton

⚠️ Challenges:
• flooding risk, erosion

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['alluvial'],2026-02-12T17:23:09.538876
Rice cultivation in Pakistan - complete guide?,"Pakistan agriculture: Diverse across provinces. Punjab leads in wheat/rice, Sindh in rice/cotton, Balochistan in dates/fruits, KPK in fruits/vegetables. Contact local extension for specifics.",pakistan_specific,['rice'],2026-02-12T17:23:09.537876
rice cultivation guide for Pakistani farmers,"🌾 COMPLETE GUIDE: RICE IN PAKISTAN

📅 Season: kharif
🌱 Soil: clay, clay loam
🌡️ Temperature: 20-35°C
💧 Water: high, 1200-2000mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Super Basmati, Basmati-385, IRRI-6, KS-282
💊 Fertilizer: NPK 100:50:50, urea
🐛 Pests: stem borer, brown plant hopper
🦠 Diseases: blast, bacterial blight
📈 Yield: 40-60 maunds, 2500-3500 kg (Basmati)

⏱️ Duration: 90-150 days
🌾 Harvest: October 15 - November 30

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['rice'],2026-02-12T17:23:09.526355
Crops suitable for mountain soil in Pakistan,"🌍 MOUNTAIN SOIL PROFILE

📊 Properties:
• Texture: variable, often stony
• Drainage: excessive
• Nutrients: variable
• Water Holding: poor
• pH: 5.5-7.5

🌱 Suitable Crops:
• maize, wheat, potato, apple

⚠️ Challenges:
• erosion, steep slopes

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['mountain'],2026-02-12T17:23:09.529870
How to manage clay soil effectively?,"🌍 CLAY SOIL PROFILE

📊 Properties:
• Texture: fine
• Drainage: poor to moderate
• Nutrients: high
• Water Holding: excellent
• pH: 5.5-7.5

🌱 Suitable Crops:
• rice, wheat, sugarcane, cotton

⚠️ Challenges:
• compaction, poor aeration

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['clay'],2026-02-12T17:23:09.521355
Cost of cultivating apple per acre in Pakistan,"📋 APPLE PRACTICAL GUIDE

1. Varieties: Kashmiri (Delicious), Red Delicious
2. Soil: well-drained loamy
3. Season: autumn
4. Fertilizer: NPK 150:75:75
5. Water: moderate
6. Yield: 80-150 maunds, 4000-7500 kg

Contact Extension Officer for details",practical,['apple'],2026-02-12T17:23:09.527863
Ideal temperature for gram (chickpea) cultivation?,"🌾 COMPLETE GUIDE: GRAM (CHICKPEA) IN PAKISTAN

📅 Season: rabi
🌱 Soil: sandy loam, well-drained loamy
🌡️ Temperature: 15-25°C
💧 Water: low, 300-500mm, rainfed preferred
📍 Regions: Punjab, Sindh

🎯 Varieties: Desi (ICC-4958), Kabuli (BENA), Noor-91, Thal-2006
💊 Fertilizer: DAP 50-100 kg/acre, organic manure
🐛 Pests: pod borer, cutworm
🦠 Diseases: ascochyta blight, wilt
📈 Yield: 15-25 maunds, 600-1000 kg

⏱️ Duration: 90-120 days
🌾 Harvest: February 15 - March 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['gram (chickpea)'],2026-02-12T17:23:09.524358
Tell me about alluvial soil characteristics,"🌍 ALLUVIAL SOIL PROFILE

📊 Properties:
• Texture: variable
• Drainage: good
• Nutrients: high
• Water Holding: variable
• pH: 6.0-8.0

🌱 Suitable Crops:
• rice, wheat, sugarcane, cotton

⚠️ Challenges:
• flooding risk, erosion

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['alluvial'],2026-02-12T17:23:09.537876
Difference between alluvial and sandy loam soil,"📊 COMPARISON: ALLUVIAL vs SANDY LOAM SOIL

┌─────────────┬────────────────┬────────────────┐
│ Property    │ Alluvial       │ Sandy Loam     │
├─────────────┼────────────────┼────────────────┤
│ Texture     │ variable       │ medium coarse  │
│ Drainage    │ good           │ good to excellent │
│ Water Hold  │ variable       │ moderate       │
│ Nutrients   │ high           │ low to moderate │
└─────────────┴────────────────┴────────────────┘

Alluvial crops: rice, wheat, sugarcane
Sandy Loam crops: maize, cotton, tomato",comparison_soil,"['alluvial', 'sandy', 'sandy loam']",2026-02-12T17:23:09.525358
Global warming,"I specialize only in agriculture-related topics. Please ask about crops, soil types, farming practices, irrigation methods, pest control, harvest techniques, or Pakistan agriculture.",out_of_domain,[],2026-02-12T17:23:09.558403
Properties of sandy soil for agriculture,"🌍 SANDY SOIL PROFILE

📊 Properties:
• Texture: coarse
• Drainage: excellent
• Nutrients: low to medium
• Water Holding: poor
• pH: 6.0-8.0

🌱 Suitable Crops:
• groundnut, watermelon, carrot, potato

⚠️ Challenges:
• nutrient leaching, dries quickly

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['sandy'],2026-02-12T17:23:09.523362
What are the requirements for okra cultivation?,"🌾 COMPLETE GUIDE: OKRA IN PAKISTAN

📅 Season: kharif
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 25-35°C
💧 Water: moderate, 400-500mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Sabz Pari, Green Star, Punjab-8, NAB-504
💊 Fertilizer: NPK 80:40:40, urea
🐛 Pests: jassids, whitefly
🦠 Diseases: yellow vein mosaic virus, powdery mildew
📈 Yield: 40-70 maunds, 2000-3500 kg

⏱️ Duration: 50-60 days
🌾 Harvest: August 15 - October 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['okra'],2026-02-12T17:23:09.545876
How to store cabbage after harvest?,"🌾 HARVESTING CABBAGE

Time: January 15 - March 31
Signs: Color change, hardness, moisture 12-14%
Methods: Manual (small), Mechanical (large)
Post-Harvest: Dry, clean, grade, store properly",practical,['cabbage'],2026-02-12T17:23:09.541879
Gravity,"I specialize only in agriculture-related topics. Please ask about crops, soil types, farming practices, irrigation methods, pest control, harvest techniques, or Pakistan agriculture.",out_of_domain,[],2026-02-12T17:23:09.558403
Difference between mountain and black soil,"📊 COMPARISON: MOUNTAIN vs BLACK SOIL

┌─────────────┬────────────────┬────────────────┐
│ Property    │ Mountain       │ Black          │
├─────────────┼────────────────┼────────────────┤
│ Texture     │ variable, often stony │ clayey         │
│ Drainage    │ excessive      │ poor when wet  │
│ Water Hold  │ poor           │ good           │
│ Nutrients   │ variable       │ high in calcium/magnesium │
└─────────────┴────────────────┴────────────────┘

Mountain crops: maize, wheat, potato
Black crops: cotton, sugarcane, wheat",comparison_soil,"['black', 'mountain']",2026-02-12T17:23:09.537876
When to harvest wheat for maximum yield?,"🌾 HARVESTING WHEAT

Time: April 15 - May 15
Signs: Color change, hardness, moisture 12-14%
Methods: Manual (small), Mechanical (large)
Post-Harvest: Dry, clean, grade, store properly",practical,['wheat'],2026-02-12T17:23:09.529870
Rice cultivation in Pakistan - complete guide?,"Pakistan agriculture: Diverse across provinces. Punjab leads in wheat/rice, Sindh in rice/cotton, Balochistan in dates/fruits, KPK in fruits/vegetables. Contact local extension for specifics.",pakistan_specific,['rice'],2026-02-12T17:23:09.523362
Complete guide to growing mustard in Pakistan?,"🌾 COMPLETE GUIDE: MUSTARD IN PAKISTAN

📅 Season: rabi
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 10-25°C
💧 Water: low to moderate, 250-400mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Raya Anmol, Punjab Sarson, Con-ola, Hyola-401
💊 Fertilizer: NPK 60:40:40, urea
🐛 Pests: aphids, painted bug
🦠 Diseases: white rust, downy mildew
📈 Yield: 20-35 maunds, 900-1500 kg

⏱️ Duration: 110-130 days
🌾 Harvest: March 15 - April 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['mustard'],2026-02-12T17:23:09.532869
What soil is best for maize in Pakistan?,"🌾 COMPLETE GUIDE: MAIZE IN PAKISTAN

📅 Season: kharif, spring
🌱 Soil: well-drained loamy, sandy loam
🌡️ Temperature: 18-27°C
💧 Water: moderate, 500-800mm
📍 Regions: Punjab, KPK

🎯 Varieties: Azam, Jalal, Pioneer hybrids, NK hybrids
💊 Fertilizer: NPK 150:75:75, urea
🐛 Pests: stem borer, armyworm
🦠 Diseases: northern corn leaf blight, stalk rot
📈 Yield: 60-100 maunds, 3500-5000 kg

⏱️ Duration: 90-110 days
🌾 Harvest: September 15 - October 30

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['maize'],2026-02-12T17:23:09.541879
loamy vs clay: which has better drainage?,"📊 COMPARISON: LOAMY vs CLAY SOIL

┌─────────────┬────────────────┬────────────────┐
│ Property    │ Loamy          │ Clay           │
├─────────────┼────────────────┼────────────────┤
│ Texture     │ medium         │ fine           │
│ Drainage    │ good           │ poor to moderate │
│ Water Hold  │ good           │ excellent      │
│ Nutrients   │ moderate to high │ high           │
└─────────────┴────────────────┴────────────────┘

Loamy crops: most crops, vegetables, fruits
Clay crops: rice, wheat, sugarcane",comparison_soil,"['clay', 'loamy']",2026-02-12T17:23:09.532869
What is sandy soil good for?,"🌍 SANDY SOIL PROFILE

📊 Properties:
• Texture: coarse
• Drainage: excellent
• Nutrients: low to medium
• Water Holding: poor
• pH: 6.0-8.0

🌱 Suitable Crops:
• groundnut, watermelon, carrot, potato

⚠️ Challenges:
• nutrient leaching, dries quickly

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['sandy'],2026-02-12T17:23:09.537876
Crop suggestions for KPK's mountainous terrain?,"Pakistan agriculture: Diverse across provinces. Punjab leads in wheat/rice, Sindh in rice/cotton, Balochistan in dates/fruits, KPK in fruits/vegetables. Contact local extension for specifics.",pakistan_specific,['mountain'],2026-02-12T17:23:09.530874
Tell me about banana farming practices in Pakistan.,"🌾 COMPLETE GUIDE: BANANA IN PAKISTAN

📅 Season: year-round
🌱 Soil: deep loamy, alluvial
🌡️ Temperature: 25-30°C
💧 Water: high, 1200-2200mm annually
📍 Regions: Sindh (lower), Punjab (Multan)

🎯 Varieties: Cavendish (Dwarf, Giant), Basrai, Monte Carlo, Williams
💊 Fertilizer: NPK 200:100:200, urea
🐛 Pests: banana weevil, aphids
🦠 Diseases: banana bunchy top virus (BBTV), panama disease
📈 Yield: 150-250 dozens, 18000-30000 kg

⏱️ Duration: 10-15 months
🌾 Harvest: year-round

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['banana'],2026-02-12T17:23:09.535877
Problems with sandy loam soil and solutions,"🌍 SANDY LOAM SOIL PROFILE

📊 Properties:
• Texture: medium coarse
• Drainage: good to excellent
• Nutrients: low to moderate
• Water Holding: moderate
• pH: 6.0-7.5

🌱 Suitable Crops:
• maize, cotton, tomato, onion

⚠️ Challenges:
• nutrient leaching, requires more fertilizer

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,"['sandy', 'sandy loam']",2026-02-12T17:23:09.520351
What are the Kharif crops in Pakistan?,"📅 KHARIF CROPS (Apr-Jul sowing, Sep-Dec harvest)

Cereals: Rice, Maize, Sorghum, Millets
Cash: Cotton
Oilseeds: Sunflower, Groundnut
Pulses: Mungbean, Urdbean
Vegetables: Tomato, Chili, Okra, Brinjal
Fruits: Mango, Guava, Melons

Key: Rice and cotton are major Kharif crops",pakistan_specific,[],2026-02-12T17:23:09.520351
What are the Rabi crops in Pakistan?,"📅 RABI CROPS (Oct-Dec sowing, Mar-May harvest)

Cereals: Wheat, Barley
Pulses: Chickpea, Lentil, Pea
Oilseeds: Mustard, Sunflower
Vegetables: Potato, Onion, Cabbage
Fruits: Citrus, Dates
Fodder: Berseem, Lucerne, Oats

Key: Wheat most important Rabi crop",pakistan_specific,[],2026-02-12T17:23:09.546877
Cost of cultivating maize per acre in Pakistan,"📋 MAIZE PRACTICAL GUIDE

1. Varieties: Azam, Jalal
2. Soil: well-drained loamy
3. Season: kharif, spring
4. Fertilizer: NPK 150:75:75
5. Water: moderate
6. Yield: 60-100 maunds, 3500-5000 kg

Contact Extension Officer for details",practical,['maize'],2026-02-12T17:23:09.533870
How much fertilizer for gram (chickpea) per acre?,"💊 FERTILIZER FOR GRAM (CHICKPEA)

Basal: DAP 50-100 kg/acre
Additional: organic manure, NPK 20:40:0

Tips:
• Soil test first
• Split nitrogen applications
• Apply when soil moist
• Include micronutrients",practical,['gram (chickpea)'],2026-02-12T17:23:09.532869
mango vs carrot: which is more profitable?,"🌾 COMPARISON: MANGO vs CARROT

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Mango              │ Carrot             │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ summer             │ rabi               │
│ Duration     │ perennial          │ 90-110 days        │
│ Soil         │ well-drained loamy │ sandy loam         │
│ Water        │ moderate           │ moderate           │
│ Yield/Acre   │ 40-100 maunds      │ 80-150 maunds      │
└──────────────┴────────────────────┴────────────────────┘

Mango: Punjab (Multan, Bahawalpur), Sindh
Carrot: Punjab, KPK",comparison_crop,"['carrot', 'mango']",2026-02-12T17:23:09.527355
How long does date palm take to grow?,"🌾 COMPLETE GUIDE: DATE PALM IN PAKISTAN

📅 Season: summer
🌱 Soil: well-drained sandy, loamy
🌡️ Temperature: 25-40°C
💧 Water: low to moderate, 600-800mm annually
📍 Regions: Balochistan (Makran), Sindh (Thar)

🎯 Varieties: Aseel, Begum Jangi, Khadrawi, Zahidi
💊 Fertilizer: NPK 50:30:50, urea
🐛 Pests: red palm weevil, date palm scale
🦠 Diseases: date palm decline, bayoud disease
📈 Yield: 40-80 maunds, 2000-4000 kg

⏱️ Duration: perennial, 4-6 years to bearing
🌾 Harvest: July 15 - October 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['date palm'],2026-02-12T17:23:09.525358
Agriculture challenges in Balochistan?,"🌾 BALOCHISTAN AGRICULTURE

Major Crops:
• Dates (Makran region)
• Apples, Apricots (Quetta)
• Vegetables (Quetta)
• Drought-tolerant crops

Challenges:
• Water scarcity
• Arid climate
• Limited irrigation

Famous for dates and fruits",pakistan_specific,[],2026-02-12T17:23:09.526355
When to harvest sorghum for maximum yield?,"🌾 HARVESTING SORGHUM

Time: September 15 - November 15
Signs: Color change, hardness, moisture 12-14%
Methods: Manual (small), Mechanical (large)
Post-Harvest: Dry, clean, grade, store properly",practical,['sorghum'],2026-02-12T17:23:09.522365
mustard cultivation guide for Pakistani farmers,"🌾 COMPLETE GUIDE: MUSTARD IN PAKISTAN

📅 Season: rabi
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 10-25°C
💧 Water: low to moderate, 250-400mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Raya Anmol, Punjab Sarson, Con-ola, Hyola-401
💊 Fertilizer: NPK 60:40:40, urea
🐛 Pests: aphids, painted bug
🦠 Diseases: white rust, downy mildew
📈 Yield: 20-35 maunds, 900-1500 kg

⏱️ Duration: 110-130 days
🌾 Harvest: March 15 - April 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['mustard'],2026-02-12T17:23:09.535877
What are the requirements for barley cultivation?,"🌾 COMPLETE GUIDE: BARLEY IN PAKISTAN

📅 Season: rabi
🌱 Soil: loamy, clay loam
🌡️ Temperature: 10-25°C
💧 Water: low to moderate, 350-500mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Jau-95, B-600, Ac barley, Haritaki
💊 Fertilizer: NPK 60:30:20, urea
🐛 Pests: aphids, armyworm
🦠 Diseases: rust, loose smut
📈 Yield: 20-35 maunds, 800-1400 kg

⏱️ Duration: 90-110 days
🌾 Harvest: March 15 - April 30

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['barley'],2026-02-12T17:23:09.534870
How to improve sandy loam soil?,"🌍 SANDY LOAM SOIL PROFILE

📊 Properties:
• Texture: medium coarse
• Drainage: good to excellent
• Nutrients: low to moderate
• Water Holding: moderate
• pH: 6.0-7.5

🌱 Suitable Crops:
• maize, cotton, tomato, onion

⚠️ Challenges:
• nutrient leaching, requires more fertilizer

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,"['sandy', 'sandy loam']",2026-02-12T17:23:09.534870
gram (chickpea) vs barley: yield comparison per acre,"🌾 COMPARISON: GRAM (CHICKPEA) vs BARLEY

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Gram (Chickpea)    │ Barley             │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ rabi               │ rabi               │
│ Duration     │ 90-120 days        │ 90-110 days        │
│ Soil         │ sandy loam         │ loamy              │
│ Water        │ low                │ low to moderate    │
│ Yield/Acre   │ 15-25 maunds       │ 20-35 maunds       │
└──────────────┴────────────────────┴────────────────────┘

Gram (Chickpea): Punjab, Sindh
Barley: Punjab, Sindh",comparison_crop,"['gram (chickpea)', 'barley']",2026-02-12T17:23:09.541879
Which crops are suitable for Punjab's climate?,"🌾 PUNJAB AGRICULTURE

Major Crops:
• Wheat (largest producer)
• Rice (Basmati exports)
• Cotton, Sugarcane
• Mangoes (Multan, Bahawalpur)
• Kinnow citrus

Regions:
• Central Punjab: Wheat, rice, cotton
• South Punjab: Mangoes, citrus
• North Punjab: Vegetables, fruits

Irrigation: Canal and tube wells
Climate: Subtropical",pakistan_specific,[],2026-02-12T17:23:09.526355
Ideal temperature for groundnut cultivation?,"🌾 COMPLETE GUIDE: GROUNDNUT IN PAKISTAN

📅 Season: kharif
🌱 Soil: well-drained sandy loam, loamy sand
🌡️ Temperature: 25-30°C
💧 Water: moderate, 500-700mm
📍 Regions: Punjab, Sindh

🎯 Varieties: BARD-482, Golden, Jumber-95, M-522
💊 Fertilizer: NPK 40:60:40, DAP
🐛 Pests: termites, white grub
🦠 Diseases: early leaf spot, late leaf spot
📈 Yield: 25-40 maunds (pods), 1000-1600 kg

⏱️ Duration: 120-140 days
🌾 Harvest: October 15 - November 30

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['groundnut'],2026-02-12T17:23:09.528871
What are the requirements for spinach cultivation?,"🌾 COMPLETE GUIDE: SPINACH IN PAKISTAN

📅 Season: rabi
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 15-20°C
💧 Water: moderate, 300-400mm
📍 Regions: All Pakistan

🎯 Varieties: Local Green, Punjab Green, All Green
💊 Fertilizer: NPK 60:40:40, urea
🐛 Pests: leaf miner, aphids
🦠 Diseases: downy mildew, powdery mildew
📈 Yield: 40-70 maunds, 2000-3500 kg

⏱️ Duration: 30-45 days
🌾 Harvest: November 15 - March 31, multiple cuttings possible

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['spinach'],2026-02-12T17:23:09.542876
gram (chickpea) cultivation guide for Pakistani farmers,"🌾 COMPLETE GUIDE: GRAM (CHICKPEA) IN PAKISTAN

📅 Season: rabi
🌱 Soil: sandy loam, well-drained loamy
🌡️ Temperature: 15-25°C
💧 Water: low, 300-500mm, rainfed preferred
📍 Regions: Punjab, Sindh

🎯 Varieties: Desi (ICC-4958), Kabuli (BENA), Noor-91, Thal-2006
💊 Fertilizer: DAP 50-100 kg/acre, organic manure
🐛 Pests: pod borer, cutworm
🦠 Diseases: ascochyta blight, wilt
📈 Yield: 15-25 maunds, 600-1000 kg

⏱️ Duration: 90-120 days
🌾 Harvest: February 15 - March 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['gram (chickpea)'],2026-02-12T17:23:09.529870
Complete guide to growing spinach in Pakistan?,"🌾 COMPLETE GUIDE: SPINACH IN PAKISTAN

📅 Season: rabi
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 15-20°C
💧 Water: moderate, 300-400mm
📍 Regions: All Pakistan

🎯 Varieties: Local Green, Punjab Green, All Green
💊 Fertilizer: NPK 60:40:40, urea
🐛 Pests: leaf miner, aphids
🦠 Diseases: downy mildew, powdery mildew
📈 Yield: 40-70 maunds, 2000-3500 kg

⏱️ Duration: 30-45 days
🌾 Harvest: November 15 - March 31, multiple cuttings possible

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_general,['spinach'],2026-02-12T17:23:09.523362
Compare black and sandy loam soils for agriculture,"📊 COMPARISON: BLACK vs SANDY LOAM SOIL

┌─────────────┬────────────────┬────────────────┐
│ Property    │ Black          │ Sandy Loam     │
├─────────────┼────────────────┼────────────────┤
│ Texture     │ clayey         │ medium coarse  │
│ Drainage    │ poor when wet  │ good to excellent │
│ Water Hold  │ good           │ moderate       │
│ Nutrients   │ high in calcium/magnesium │ low to moderate │
└─────────────┴────────────────┴────────────────┘

Black crops: cotton, sugarcane, wheat
Sandy Loam crops: maize, cotton, tomato",comparison_soil,"['black', 'sandy', 'sandy loam']",2026-02-12T17:23:09.535877
What is the ideal pH for okra soil?,"🌾 COMPLETE GUIDE: OKRA IN PAKISTAN

📅 Season: kharif
🌱 Soil: loamy, sandy loam
🌡️ Temperature: 25-35°C
💧 Water: moderate, 400-500mm
📍 Regions: Punjab, Sindh

🎯 Varieties: Sabz Pari, Green Star, Punjab-8, NAB-504
💊 Fertilizer: NPK 80:40:40, urea
🐛 Pests: jassids, whitefly
🦠 Diseases: yellow vein mosaic virus, powdery mildew
📈 Yield: 40-70 maunds, 2000-3500 kg

⏱️ Duration: 50-60 days
🌾 Harvest: August 15 - October 15

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['okra'],2026-02-12T17:23:09.540875
Properties of clay soil for agriculture,"🌍 CLAY SOIL PROFILE

📊 Properties:
• Texture: fine
• Drainage: poor to moderate
• Nutrients: high
• Water Holding: excellent
• pH: 5.5-7.5

🌱 Suitable Crops:
• rice, wheat, sugarcane, cotton

⚠️ Challenges:
• compaction, poor aeration

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,['clay'],2026-02-12T17:23:09.534870
Water holding capacity comparison: alluvial vs loamy,"📊 COMPARISON: ALLUVIAL vs LOAMY SOIL

┌─────────────┬────────────────┬────────────────┐
│ Property    │ Alluvial       │ Loamy          │
├─────────────┼────────────────┼────────────────┤
│ Texture     │ variable       │ medium         │
│ Drainage    │ good           │ good           │
│ Water Hold  │ variable       │ good           │
│ Nutrients   │ high           │ moderate to high │
└─────────────┴────────────────┴────────────────┘

Alluvial crops: rice, wheat, sugarcane
Loamy crops: most crops, vegetables, fruits",comparison_soil,"['loamy', 'alluvial']",2026-02-12T17:23:09.520351
brinjal vs maize: yield comparison per acre,"🌾 COMPARISON: BRINJAL vs MAIZE

┌──────────────┬────────────────────┬────────────────────┐
│ Attribute    │ Brinjal            │ Maize              │
├──────────────┼────────────────────┼────────────────────┤
│ Season       │ kharif             │ kharif             │
│ Duration     │ 100-120 days       │ 90-110 days        │
│ Soil         │ loamy              │ well-drained loamy │
│ Water        │ moderate           │ moderate           │
│ Yield/Acre   │ 120-200 maunds     │ 60-100 maunds      │
└──────────────┴────────────────────┴────────────────────┘

Brinjal: Punjab, Sindh
Maize: Punjab, KPK",comparison_crop,"['brinjal', 'maize']",2026-02-12T17:23:09.556405
Problems with sandy loam soil and solutions,"🌍 SANDY LOAM SOIL PROFILE

📊 Properties:
• Texture: medium coarse
• Drainage: good to excellent
• Nutrients: low to moderate
• Water Holding: moderate
• pH: 6.0-7.5

🌱 Suitable Crops:
• maize, cotton, tomato, onion

⚠️ Challenges:
• nutrient leaching, requires more fertilizer

🔧 Management:
• Add organic matter
• Proper drainage
• Balanced fertilization",soil_general,"['sandy', 'sandy loam']",2026-02-12T17:23:09.536878
What is the expected yield of gram (chickpea) per acre?,"🌾 COMPLETE GUIDE: GRAM (CHICKPEA) IN PAKISTAN

📅 Season: rabi
🌱 Soil: sandy loam, well-drained loamy
🌡️ Temperature: 15-25°C
💧 Water: low, 300-500mm, rainfed preferred
📍 Regions: Punjab, Sindh

🎯 Varieties: Desi (ICC-4958), Kabuli (BENA), Noor-91, Thal-2006
💊 Fertilizer: DAP 50-100 kg/acre, organic manure
🐛 Pests: pod borer, cutworm
🦠 Diseases: ascochyta blight, wilt
📈 Yield: 15-25 maunds, 600-1000 kg

⏱️ Duration: 90-120 days
🌾 Harvest: February 15 - March 31

Key Tips:
1. Certified seeds
2. Soil preparation
3. Balanced fertilization
4. IPM practices
5. Timely irrigation",crop_specific,['gram (chickpea)'],2026-02-12T17:23:09.537876
